,,,,,,
,,,,,,
,,,,,,
2023 Worldwide Box Office,,,,,,
2023,,,,,,
Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,445,638,421","$636,238,421",44%,"$809,400,000",56%
2,The Super Mario Bros. Movie,"$1,361,992,475","$574,934,330",42.20%,"$787,058,145",57.80%
3,Oppenheimer,"$975,297,660","$329,862,540",33.80%,"$645,435,120",66.20%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.50%,"$486,559,962",57.50%
5,Fast X,"$704,875,015","$146,126,015",20.70%,"$558,749,000",79.30%
6,Spider-Man: Across the Spider-Verse,"$690,615,475","$381,311,319",55.20%,"$309,304,156",44.80%
7,Wonka,"$632,302,312","$218,402,312",34.50%,"$413,900,000",65.50%
8,The Little Mermaid,"$569,626,289","$298,172,056",52.30%,"$271,454,233",47.70%
9,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.30%,"$395,400,000",69.70%
10,Elemental,"$496,444,308","$154,426,697",31.10%,"$342,017,611",68.90%
11,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.10%,"$261,566,271",54.90%
12,John Wick: Chapter 4,"$440,157,245","$187,131,806",42.50%,"$253,025,439",57.50%
13,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.80%,"$281,900,000",64.20%
14,Aquaman and the Lost Kingdom,"$434,381,226","$124,481,226",28.70%,"$309,900,000",71.30%
15,Meg 2: The Trench,"$397,700,317","$82,600,317",20.80%,"$315,100,000",79.20%
16,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.40%,"$209,482,589",54.60%
17,The Hunger Games: The Ballad of Songbirds & Snakes,"$344,357,763","$166,350,594",48.30%,"$178,007,169",51.70%
18,Migration,"$299,129,434","$127,306,285",42.60%,"$171,823,149",57.40%
19,Five Nights at Freddy's,"$291,493,620","$137,275,620",47.10%,"$154,218,000",52.90%
20,Creed III,"$276,148,615","$156,248,615",56.60%,"$119,900,000",43.40%
21,The Flash,"$271,333,313","$108,133,313",39.90%,"$163,200,000",60.10%
22,The Nun II,"$269,467,073","$86,267,073",32%,"$183,200,000",68%
23,Taylor Swift: The Eras Tour,"$261,656,269","$180,756,269",69.10%,"$80,900,000",30.90%
24,Wish,"$254,997,360","$63,973,821",25.10%,"$191,023,539",74.90%
25,Sound of Freedom,"$250,570,396","$184,178,046",73.50%,"$66,392,350",26.50%
26,Napoleon,"$221,394,838","$61,524,375",27.80%,"$159,870,463",72.20%
27,Anyone But You,"$220,213,795","$88,319,668",40.10%,"$131,894,127",59.90%
28,Trolls Band Together,"$209,367,510","$102,996,915",49.20%,"$106,370,595",50.80%
29,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.80%,"$114,900,000",55.20%
30,The Marvels,"$206,136,825","$84,500,223",41%,"$121,636,602",59%
31,PAW Patrol: The Mighty Movie,"$202,231,360","$65,231,360",32.30%,"$137,000,000",67.70%
32,The Equalizer 3,"$191,067,560","$92,373,751",48.30%,"$98,693,809",51.70%
33,Insidious: The Red Door,"$189,086,877","$82,156,962",43.40%,"$106,929,915",56.60%
34,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.70%,"$61,900,000",34.30%
35,The Boy and the Heron,"$173,634,886","$46,832,867",27%,"$126,802,019",73%
36,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
37,Killers of the Flower Moon,"$157,026,901","$68,026,901",43.30%,"$89,000,000",56.70%
38,Evil Dead Rise,"$147,033,054","$67,233,054",45.70%,"$79,800,000",54.30%
39,The Exorcist: Believer,"$136,284,218","$65,537,395",48.10%,"$70,746,823",51.90%
40,Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%
41,Blue Beetle,"$130,788,072","$72,488,072",55.40%,"$58,300,000",44.60%
42,A Haunting in Venice,"$122,290,456","$42,471,412",34.70%,"$79,819,044",65.30%
43,Gran Turismo,"$122,101,055","$44,428,554",36.40%,"$77,672,501",63.60%
44,Poor Things,"$117,625,455","$34,553,225",29.40%,"$83,072,230",70.60%
45,Haunted Mansion,"$117,449,790","$67,653,287",57.60%,"$49,796,503",42.40%
46,Godzilla Minus One,"$115,857,413","$56,418,793",48.70%,"$59,438,620",51.30%
47,Pathaan,"$112,583,450","$17,487,476",15.50%,"$95,095,974",84.50%
48,Saw X,"$111,823,047","$53,607,898",47.90%,"$58,215,149",52.10%
49,Detective Conan: Black Iron Submarine,"$106,771,806",-,-,"$106,771,806",100%
50,The Creator,"$104,272,136","$40,774,679",39.10%,"$63,497,457",60.90%
51,12.12: The Day,"$97,476,565",-,-,"$97,476,565",100%
52,Animal,"$92,870,950","$15,004,482",16.20%,"$77,866,468",83.80%
53,Talk to Me,"$92,181,735","$48,299,436",52.40%,"$43,882,299",47.60%
54,Air,"$90,060,106","$52,460,106",58.30%,"$37,600,000",41.70%
55,Cocaine Bear,"$88,314,672","$64,670,240",73.20%,"$23,644,432",26.80%
56,No Hard Feelings,"$87,256,407","$50,452,282",57.80%,"$36,804,125",42.20%
57,The Roundup: No Way Out,"$83,410,298","$909,411",1.10%,"$82,500,887",98.90%
58,The Pope's Exorcist,"$76,987,621","$20,009,380",26%,"$56,978,241",74%
59,Plane,"$74,515,586","$32,111,181",43.10%,"$42,404,405",56.90%
60,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.40%,"$55,123,677",78.60%
61,The Color Purple,"$67,519,191","$60,619,191",89.80%,"$6,900,000",10.20%
62,The Boogeyman,"$67,307,243","$43,244,282",64.20%,"$24,062,961",35.80%
63,65,"$60,730,568","$32,062,904",52.80%,"$28,667,664",47.20%
64,Spy x Family Code: White,"$59,629,242","$8,110,042",13.60%,"$51,519,200",86.40%
65,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.50%,"$31,100,000",54.50%
66,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,319,794","$10,117,806",18%,"$46,201,988",82%
67,One Life,"$56,065,810","$5,716,885",10.20%,"$50,348,925",89.80%
68,The Boys in the Boat,"$55,501,365","$52,641,306",94.80%,"$2,860,059",5.20%
69,Knock at the Cabin,"$54,760,947","$35,397,980",64.60%,"$19,362,967",35.40%
70,Mummies,"$54,475,970","$4,275,970",7.80%,"$50,200,000",92.20%
71,Jesus Revolution,"$54,295,801","$52,102,987",96%,"$2,192,814",4%
72,Asteroid City,"$53,857,743","$28,153,025",52.30%,"$25,704,718",47.70%
73,The Zone of Interest,"$52,581,844","$8,659,464",16.50%,"$43,922,380",83.50%
74,Operation Fortune: Ruse de Guerre,"$48,983,306","$6,496,125",13.30%,"$42,487,181",86.70%
75,Missing,"$48,767,848","$32,502,025",66.60%,"$16,265,823",33.40%
76,There's Still Tomorrow,"$48,489,294",-,-,"$48,489,294",100%
77,Thanksgiving,"$46,553,280","$31,908,884",68.50%,"$14,644,396",31.50%
78,Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,-,"$46,497,678",100%
79,Ruby Gillman: Teenage Kraken,"$45,657,745","$15,753,600",34.50%,"$29,904,145",65.50%
80,The Holdovers,"$45,406,174","$20,355,375",44.80%,"$25,050,799",55.20%
81,The Iron Claw,"$45,202,541","$35,070,296",77.60%,"$10,132,245",22.40%
82,Son of a Rich 2,"$44,718,015",-,-,"$44,718,015",100%
83,Renaissance: A Film by Beyoncé,"$43,989,684","$33,889,684",77%,"$10,100,000",23%
84,Ferrari,"$43,336,670","$18,550,028",42.80%,"$24,786,642",57.20%
85,Past Lives,"$42,543,146","$11,185,625",26.30%,"$31,357,521",73.70%
86,80 for Brady,"$40,362,938","$39,330,588",97.40%,"$1,032,350",2.60%
87,"Miraculous: Ladybug & Cat Noir, the Movie","$40,209,224",-,-,"$40,209,224",100%
88,My Big Fat Greek Wedding 3,"$38,831,076","$28,496,030",73.40%,"$10,335,046",26.60%
89,The Expendables 4,"$37,917,985","$16,710,153",44.10%,"$21,207,832",55.90%
90,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%
91,Smugglers,"$36,851,831",-,-,"$36,851,831",100%
92,Kingdom 3: The Flame of Destiny,"$36,259,522",-,-,"$36,259,522",100%
93,Ride On,"$36,258,730","$128,950",0.40%,"$36,129,780",99.60%
94,Strays,"$36,071,267","$23,988,885",66.50%,"$12,082,382",33.50%
95,Anatomy of a Fall,"$35,948,315","$5,076,369",14.10%,"$30,871,946",85.90%
96,The Bremen Town Musicians,"$34,596,570",-,-,"$34,596,570",100%
97,Noryang: Deadly Sea,"$34,210,966","$315,245",0.90%,"$33,895,721",99.10%
98,Alibi.com 2,"$34,114,308",-,-,"$34,114,308",100%
99,Priscilla,"$33,111,603","$20,960,939",63.30%,"$12,150,664",36.70%
100,Don't Call it Mystery: The Movie,"$32,488,540",-,-,"$32,488,540",100%
