,,,,,,
2022 Worldwide Box Office,,,,,,
2022,,,,,,
Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.50%,"$1,636,174,514",70.50%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.10%,"$776,963,471",51.90%
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.60%,"$625,127,000",62.40%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$940,203,765","$370,270,765",39.40%,"$569,933,000",60.60%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.80%,"$405,379,776",47.20%
7,The Batman,"$772,245,583","$369,345,583",47.80%,"$402,900,000",52.20%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.10%,"$417,671,251",54.90%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$481,726,788","$186,090,535",38.60%,"$295,636,253",61.40%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.50%,"$311,300,000",76.50%
13,Uncharted,"$407,141,258","$148,648,820",36.50%,"$258,492,438",63.50%
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.10%,"$214,548,614",52.90%
15,Black Adam,"$393,452,111","$168,152,111",42.70%,"$225,300,000",57.30%
16,Elvis,"$287,740,048","$151,040,048",52.50%,"$136,700,000",47.50%
17,The Bad Guys,"$250,387,888","$97,459,240",38.90%,"$152,928,648",61.10%
18,Bullet Train,"$239,268,602","$103,368,602",43.20%,"$135,900,000",56.80%
19,Lightyear,"$226,425,420","$118,307,188",52.20%,"$108,118,232",47.80%
20,Smile,"$217,408,513","$105,935,048",48.70%,"$111,473,465",51.30%
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.90%
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.10%,"$113,900,000",54.90%
24,The Lost City,"$192,907,684","$105,344,029",54.60%,"$87,563,655",45.40%
25,M3GAN,"$180,089,109","$95,159,005",52.80%,"$84,930,104",47.20%
26,One Piece Film: Red,"$171,319,579","$12,775,324",7.50%,"$158,544,255",92.50%
27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
28,Ticket to Paradise,"$168,770,985","$68,275,985",40.50%,"$100,495,000",59.50%
29,Morbius,"$167,460,961","$73,865,530",44.10%,"$93,595,431",55.90%
30,RRR,"$165,955,146","$14,500,000",8.70%,"$151,455,146",91.30%
31,The Black Phone,"$161,440,742","$90,123,230",55.80%,"$71,317,512",44.20%
32,The First Slam Dunk,"$151,712,242","$1,291,869",0.90%,"$150,420,373",99.10%
33,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.50%,"$54,123,205",37.50%
34,Everything Everywhere All at Once,"$139,402,341","$77,191,785",55.40%,"$62,210,556",44.60%
35,Scream,"$137,743,924","$81,641,405",59.30%,"$56,102,519",40.70%
36,Death on the Nile,"$137,307,235","$45,630,104",33.20%,"$91,677,131",66.80%
